"hh_id","latitude","longitude","size"
1,51.25,4.45,5
2,51.22,4.44,3
3,51.22,4.46,2
4,51.22,4.46,4
5,51.22,4.44,4
6,51.22,4.46,1
7,51.2165,4.40779,4
8,51.2165,4.40779,6
9,51.24,4.4616,2
10,51.22,4.46,4
11,51.2165,4.40779,5
12,51.22,4.46,1
13,51.22,4.44,3
14,51.22,4.44,4
15,51.24,4.4616,3
16,51.22,4.46,2
17,51.22,4.44,4
18,51.25,4.45,1
19,51.25,4.45,2
20,51.25,4.45,4
21,51.22,4.46,2
22,51.22,4.44,4
23,51.22,4.46,3
24,51.22,4.46,5
25,51.22,4.44,1
26,51.22,4.44,2
27,51.25,4.45,2
28,51.22,4.44,4
29,51.25,4.45,3
30,51.25,4.45,4
31,51.22,4.46,3
32,51.24,4.4616,2
33,51.22,4.44,2
34,51.25,4.45,5
35,51.22,4.44,3
36,51.2165,4.40779,2
37,51.22,4.46,3
38,51.22,4.46,1
39,51.25,4.45,3
40,51.22,4.44,3
41,51.22,4.46,2
42,51.22,4.44,3
43,51.2307,4.42437,4
44,51.22,4.44,4
45,51.22,4.44,5
46,51.25,4.45,1
47,51.22,4.44,2
48,51.22,4.46,1
49,51.25,4.45,2
50,51.2165,4.40779,2
51,51.25,4.45,2
52,51.24,4.4616,2
53,51.25,4.45,1
54,51.25,4.45,2
55,51.22,4.46,1
56,51.25,4.45,1
57,51.22,4.44,5
58,51.25,4.45,5
59,51.22,4.44,2
60,51.25,4.45,2
61,51.22,4.44,4
62,51.25,4.45,3
63,51.25,4.45,2
64,51.22,4.44,4
65,51.22,4.46,3
66,51.25,4.45,2
67,51.22,4.44,5
68,51.22,4.44,3
69,51.22,4.46,4
70,51.2307,4.42437,3
71,51.24,4.4616,1
72,51.2307,4.42437,2
73,51.22,4.44,1
74,51.25,4.45,2
75,51.25,4.45,2
76,51.25,4.45,1
77,51.22,4.44,1
78,51.24,4.4616,3
79,51.22,4.46,1
80,51.22,4.46,1
81,51.24,4.4616,2
82,51.2165,4.40779,2
83,51.25,4.45,3
84,51.22,4.46,5
85,51.25,4.45,4
86,51.22,4.46,3
87,51.25,4.45,4
88,51.22,4.46,3
89,51.2165,4.40779,4
90,51.22,4.44,2
91,51.22,4.46,4
92,51.22,4.46,6
93,51.22,4.44,6
94,51.22,4.46,2
95,51.24,4.4616,2
96,51.22,4.44,2
97,51.25,4.45,4
98,51.25,4.45,2
99,51.22,4.44,5
100,51.2307,4.42437,4
101,51.24,4.4616,5
102,51.25,4.45,3
103,51.22,4.46,3
104,51.22,4.46,4
105,51.22,4.46,4
106,51.22,4.44,4
107,51.25,4.45,3
108,51.2307,4.42437,2
109,51.25,4.45,4
110,51.24,4.4616,4
111,51.22,4.44,3
112,51.25,4.45,3
113,51.22,4.46,5
114,51.22,4.44,2
115,51.24,4.4616,4
116,51.25,4.45,3
117,51.22,4.46,2
118,51.2165,4.40779,4
119,51.22,4.44,2
120,51.2165,4.40779,4
121,51.25,4.45,3
122,51.25,4.45,3
123,51.2165,4.40779,4
124,51.25,4.45,2
125,51.22,4.44,4
126,51.22,4.46,2
127,51.25,4.45,4
128,51.24,4.4616,5
129,51.22,4.46,2
130,51.22,4.44,2
131,51.25,4.45,2
132,51.22,4.44,2
133,51.25,4.45,2
134,51.2307,4.42437,3
