"age","household_id","school_id","work_id","primary_community","secondary_community"
77,1,0,0,8,5
48,1,0,0,8,5
46,1,0,0,8,5
19,1,176,0,8,5
14,1,98,0,8,5
55,2,0,0,7,7
26,2,0,0,7,7
24,2,0,0,7,7
32,3,0,0,7,2
30,3,0,10,7,2
54,4,0,0,3,4
51,4,0,0,3,4
19,4,176,0,3,4
16,4,110,0,3,4
43,5,0,0,1,1
39,5,0,0,1,1
12,5,69,0,1,1
9,5,37,0,1,1
30,6,0,0,7,6
76,7,0,0,2,7
73,7,0,0,2,7
48,7,0,10,2,7
11,7,159,0,2,7
39,8,0,0,2,8
38,8,0,33,2,8
20,8,176,0,2,8
18,8,176,0,2,8
15,8,163,0,2,8
10,8,173,0,2,8
68,9,0,0,8,3
58,9,0,0,8,3
46,10,0,0,1,1
45,10,0,155,1,1
18,10,0,0,1,1
8,10,148,0,1,1
62,11,0,10,6,8
52,11,0,0,6,8
24,11,0,10,6,8
22,11,176,0,6,8
21,11,0,0,6,8
39,12,0,0,1,4
50,13,0,10,1,1
42,13,0,186,1,1
8,13,51,0,1,1
53,14,0,0,1,2
50,14,0,0,1,2
23,14,176,0,1,2
22,14,176,0,1,2
66,15,0,0,8,3
65,15,0,149,8,3
40,15,0,59,8,3
76,16,0,0,7,6
75,16,0,0,7,6
44,17,0,0,2,4
39,17,0,0,2,4
15,17,22,0,2,4
12,17,63,0,2,4
42,18,0,0,8,3
56,19,0,46,8,5
52,19,0,0,8,5
39,20,0,0,8,3
38,20,0,0,8,3
10,20,87,0,8,3
7,20,77,0,8,3
65,21,0,116,5,1
65,21,0,0,5,1
73,22,0,0,2,1
67,22,0,0,2,1
30,22,0,133,2,1
26,22,0,0,2,1
46,23,0,0,3,4
39,23,0,0,3,4
13,23,34,0,3,4
43,24,0,0,7,4
30,24,0,32,7,4
6,24,24,0,7,4
5,24,40,0,7,4
2,24,0,0,7,4
81,25,0,0,7,1
67,26,0,0,4,6
56,26,0,0,4,6
32,27,0,0,8,5
32,27,0,0,8,5
49,28,0,0,3,7
39,28,0,10,3,7
15,28,38,0,3,7
15,28,48,0,3,7
56,29,0,0,8,5
53,29,0,0,8,5
22,29,176,0,8,5
33,30,0,0,8,5
31,30,0,128,8,5
1,30,0,0,8,5
1,30,0,0,8,5
52,31,0,10,5,1
49,31,0,0,5,1
20,31,0,0,5,1
38,32,0,10,8,3
37,32,0,0,8,3
34,33,0,0,2,6
32,33,0,25,2,6
35,34,0,122,8,5
31,34,0,10,8,5
7,34,80,0,8,5
