"hh_id","latitude","longitude","size"
1,50.85,4.348,5
2,51.0128,4.24723,3
3,50.9723,4.20722,2
4,50.9499,4.16434,4
5,50.85,4.348,4
6,51.1355,4.6342,1
7,50.9975,4.43651,4
8,50.9288,4.74005,6
9,50.9119,4.12786,2
10,51.1009,4.50541,4
11,51.1482,4.41224,5
12,51.0436,4.71779,1
13,50.85,4.348,3
14,51.1195,4.65719,4
15,50.9157,4.14782,3
16,51.0196,4.12067,2
17,50.85,4.348,4
18,50.7635,4.47713,1
19,51.0074,4.40208,2
20,51.2039,4.40268,4
21,51.1578,4.52742,2
22,50.8182,4.40338,4
23,50.9037,4.22118,3
24,51.0074,4.40208,5
25,51.1976,4.55983,1
26,50.85,4.348,2
27,50.8182,4.40338,2
28,50.7963,4.57549,4
29,51.0196,4.12067,3
30,51.1976,4.55983,4
31,50.7671,4.3742,3
32,50.9255,4.3268,2
33,50.9037,4.22118,2
34,50.9723,4.20722,5
35,50.9619,4.34004,3
36,51.1239,4.37898,2
37,51.123,4.567,3
38,51.0436,4.71779,1
39,50.9157,4.14782,3
40,50.9119,4.12786,3
41,50.8883,4.2129,2
42,50.8928,4.52268,3
43,50.9499,4.16434,4
44,51.0275,4.32064,4
45,50.9119,4.12786,5
46,50.9157,4.14782,1
47,50.9499,4.16434,2
48,50.7861,4.36589,1
49,50.7635,4.47713,2
50,51.0128,4.24723,2
51,51.1111,4.64024,2
52,51.0176,4.5179,2
53,50.8841,4.54869,1
54,51.0196,4.12067,2
55,50.9155,4.17075,1
56,51.0176,4.5179,1
57,50.8841,4.54869,5
58,50.85,4.348,5
59,51.1009,4.50541,2
60,50.8928,4.52268,2
61,51.0196,4.12067,4
62,50.8182,4.40338,3
63,50.9288,4.74005,2
64,51.1072,4.36468,4
65,50.9975,4.43651,3
66,51.2039,4.40268,2
67,50.9343,4.63916,5
68,50.85,4.348,3
69,50.85,4.348,4
70,50.769,4.42994,3
71,50.9196,4.49066,1
72,51.0268,4.61887,2
73,50.8541,4.21542,1
74,50.85,4.348,2
75,51.0439,4.11888,2
76,50.9302,4.77949,1
77,51.0074,4.40208,1
78,51.0186,4.22371,3
79,51.123,4.567,1
80,50.85,4.348,1
81,51.1555,4.40416,2
82,50.9119,4.12786,2
83,50.85,4.348,3
84,51.0267,4.26752,5
85,51.0893,4.59362,4
86,51.0268,4.61887,3
87,51.0176,4.5179,4
88,51.1976,4.55983,3
89,51.1068,4.56582,4
90,50.85,4.348,2
91,50.8979,4.34586,4
92,51.0275,4.32064,6
93,50.85,4.348,6
94,51.2039,4.40268,2
95,50.85,4.348,2
96,50.8962,4.64671,2
97,50.9157,4.14782,4
98,51.1239,4.37898,2
99,50.85,4.348,5
100,51.2039,4.40268,4
101,50.8979,4.34586,5
102,51.1976,4.55983,3
103,51.0186,4.22371,3
104,50.8883,4.2129,4
105,50.8388,4.51016,4
106,50.9667,4.44674,4
107,51.123,4.567,3
108,51.1239,4.37898,2
109,51.1195,4.65719,4
110,50.8388,4.51016,4
111,51.0176,4.5179,3
112,50.8979,4.34586,3
113,50.85,4.348,5
114,51.1847,4.60648,2
115,50.85,4.348,4
116,51.1239,4.37898,3
117,50.9723,4.20722,2
118,51.1239,4.37898,4
119,50.85,4.348,2
120,50.9667,4.44674,4
121,50.9302,4.77949,3
122,50.9119,4.12786,3
123,50.9157,4.14782,4
124,50.9667,4.44674,2
125,50.7635,4.47713,4
126,50.8928,4.52268,2
127,51.123,4.567,4
128,50.9499,4.16434,5
129,51.123,4.567,2
130,51.123,4.567,2
131,51.0196,4.12067,2
132,51.1122,4.41778,2
133,51.027,4.63795,2
134,51.0186,4.22371,3
135,50.85,4.348,1
136,50.9244,4.60955,1
137,50.9343,4.63916,1
138,51.0436,4.71779,2
139,50.9288,4.74005,2
140,50.8928,4.52268,1
141,50.9255,4.3268,4
142,50.8388,4.51016,5
143,51.0196,4.12067,2
144,51.1111,4.64024,4
145,51.0196,4.12067,1
146,51.0439,4.11888,1
147,50.9499,4.16434,4
148,50.9667,4.44674,1
149,51.0186,4.22371,2
150,50.8841,4.54869,2
151,51.1976,4.55983,2
152,50.9499,4.16434,1
153,51.0439,4.11888,5
154,50.9255,4.3268,11
155,51.1195,4.65719,2
156,51.1111,4.64024,3
157,50.9499,4.16434,3
158,50.7963,4.57549,4
159,50.85,4.348,3
160,51.0012,4.80215,4
161,50.7861,4.36589,3
162,51.0957,4.69413,4
163,50.7671,4.3742,1
164,50.8182,4.40338,4
165,50.8182,4.40338,3
166,50.9119,4.12786,4
167,51.0196,4.12067,3
168,50.7709,4.48081,1
169,50.8607,4.6475,4
170,51.0196,4.12067,1
171,51.0196,4.12067,3
172,51.123,4.567,4
173,50.8871,4.51624,4
174,50.9071,4.41936,5
175,50.9255,4.3268,6
176,50.8388,4.51016,3
177,51.123,4.567,2
178,50.85,4.348,2
179,50.85,4.348,6
180,51.0128,4.24723,3
181,50.85,4.348,4
182,51.0128,4.24723,2
183,50.8962,4.64671,1
184,51.1239,4.37898,4
185,50.85,4.348,3
186,50.85,4.348,4
187,51.1342,4.19322,4
188,50.8388,4.51016,4
189,50.8962,4.64671,3
