"cluster_id","cluster_type","latitude","longitude"
1,household,50.7955,5.36324
2,household,53.1155,2.67548
3,household,52.0446,1.77351
4,household,52.7927,7.46081
5,household,54.567,5.89
6,household,52.9002,5.05505
7,household,54.1482,7.41244
8,household,55.4107,5.41944
9,household,52.7717,5.71434
10,household,51.0364,7.60034
11,household,54.5025,1.93317
12,household,51.0999,2.06573
13,household,54.7137,4.67011
14,household,52.096,2.82218
15,household,52.096,2.82218
16,household,53.8342,1.69663
17,household,54.1499,2.29293
18,household,51.4807,1.80275
19,household,53.9375,3.19181
20,household,52.7629,1.8664
21,household,52.481,2.84811
22,household,54.567,5.89
23,household,54.3532,4.57792
24,household,54.567,5.89
25,household,51.0364,7.60034
26,household,51.7862,3.63777
27,household,53.9375,3.19181
28,household,52.3942,5.96351
29,household,51.123,4.567
30,household,54.3375,5.08167
31,household,51.8531,6.58035
32,household,54.567,5.89
33,household,51.8716,8.11494
34,household,51.4807,1.80275
35,household,52.9002,5.05505
36,household,53.2192,6.14571
37,household,52.9002,5.05505
38,household,51.123,4.567
39,household,53.4634,5.44468
40,household,51.6474,2.07203
41,household,54.2086,3.21117
42,household,53.2192,6.14571
43,household,52.0446,1.77351
44,household,51.2902,5.15379
45,household,51.6004,7.53089
46,household,54.567,5.89
47,household,52.524,9.23296
48,household,52.5911,2.40822
49,household,52.7629,1.8664
50,household,51.2692,6.57671
51,household,51.123,4.567
52,household,53.3735,8.96223
53,household,55.284,5.90958
54,household,52.2589,1.41752
55,household,54.567,5.89
56,household,51.9389,6.96971
57,household,54.3532,4.57792
58,household,51.4807,1.80275
59,household,51.9894,9.12492
60,household,53.9548,8.69727
61,household,51.8531,6.58035
62,household,53.1967,5.62512
63,household,52.2589,1.41752
64,household,53.5019,2.7108
65,household,51.0999,2.06573
66,household,51.6474,2.07203
67,household,55.284,5.90958
68,household,52.7717,5.71434
69,household,53.5209,7.16947
70,household,52.096,2.82218
71,household,54.0576,4.88973
72,household,51.123,4.567
73,household,52.4064,1.14917
74,household,54.3532,4.57792
75,household,53.3735,8.96223
76,household,51.123,4.567
77,household,52.4054,7.80564
78,household,53.8837,1.14614
79,household,53.3307,4.78891
80,household,51.0364,7.60034
81,household,53.2294,6.88995
82,household,54.567,5.89
83,household,51.9389,6.96971
84,household,53.5209,7.16947
85,household,54.567,5.89
86,household,53.5047,7.69896
87,household,54.567,5.89
