"age","household_id","school_id","work_id","primary_community","secondary_community"
77,1,0,0,4,1
48,1,0,768,4,1
46,1,0,0,4,1
19,1,0,1,4,1
14,1,250,0,4,1
55,2,0,0,12,9
26,2,0,238,12,9
24,2,276,0,12,9
32,3,0,1,8,1
30,3,0,609,8,1
54,4,0,0,3,5
51,4,0,516,3,5
19,4,0,51,3,5
16,4,46,0,3,5
43,5,0,1,12,9
39,5,0,71,12,9
12,5,263,0,12,9
9,5,266,0,12,9
30,6,0,0,12,9
76,7,0,0,7,6
73,7,0,0,7,6
48,7,0,1,7,6
11,7,94,0,7,6
39,8,0,574,12,9
38,8,0,614,12,9
20,8,0,462,12,9
18,8,276,0,12,9
15,8,137,0,12,9
10,8,253,0,12,9
68,9,0,0,12,9
58,9,0,292,12,9
46,10,0,1187,10,11
45,10,0,1015,10,11
18,10,276,0,10,11
8,10,76,0,10,11
62,11,0,0,3,5
52,11,0,511,3,5
24,11,0,0,3,5
22,11,276,0,3,5
21,11,276,0,3,5
39,12,0,1075,5,6
50,13,0,916,2,13
42,13,0,1,2,13
8,13,125,0,2,13
53,14,0,0,9,4
50,14,0,680,9,4
23,14,276,0,9,4
22,14,0,1,9,4
66,15,0,0,3,6
65,15,0,611,3,6
40,15,0,0,3,6
76,16,0,0,1,13
75,16,0,0,1,13
44,17,0,0,4,1
39,17,0,1,4,1
15,17,245,0,4,1
12,17,227,0,4,1
42,18,0,0,6,13
56,19,0,106,5,3
52,19,0,947,5,3
39,20,0,1196,9,4
38,20,0,1196,9,4
10,20,127,0,9,4
7,20,275,0,9,4
65,21,0,111,12,9
65,21,0,350,12,9
73,22,0,0,9,4
67,22,0,0,9,4
30,22,0,783,9,4
26,22,0,830,9,4
46,23,0,623,6,11
39,23,0,732,6,11
13,23,178,0,6,11
43,24,0,1,7,12
30,24,0,0,7,12
6,24,28,0,7,12
5,24,10,0,7,12
2,24,0,0,7,12
81,25,0,0,1,11
67,26,0,0,8,1
56,26,0,859,8,1
32,27,0,733,11,10
32,27,0,982,11,10
49,28,0,0,7,13
39,28,0,629,7,13
15,28,36,0,7,13
15,28,77,0,7,13
56,29,0,760,11,10
53,29,0,18,11,10
22,29,0,61,11,10
33,30,0,1147,10,3
31,30,0,1,10,3
1,30,0,0,10,3
1,30,0,0,10,3
52,31,0,1,5,5
49,31,0,5,5,5
20,31,0,555,5,5
38,32,0,5,10,3
37,32,0,353,10,3
34,33,0,814,1,3
32,33,0,0,1,3
35,34,0,0,12,9
31,34,0,1079,12,9
7,34,128,0,12,9
6,34,136,0,12,9
1,34,0,0,12,9
51,35,0,534,9,4
50,35,0,763,9,4
21,35,276,0,9,4
61,36,0,549,6,4
54,36,0,5,6,4
45,37,0,493,12,9
40,37,0,15,12,9
15,37,133,0,12,9
52,38,0,610,2,11
40,39,0,40,5,3
39,39,0,5,5,3
14,39,72,0,5,3
32,40,0,5,12,9
28,40,0,5,12,9
2,40,0,0,12,9
24,41,276,0,7,5
21,41,0,819,7,5
64,42,0,1218,2,11
64,42,0,0,2,11
32,42,0,346,2,11
41,43,0,0,1,5
37,43,0,5,1,5
10,43,179,0,1,5
6,43,176,0,1,5
59,44,0,5,5,7
57,44,0,1125,5,7
20,44,0,5,5,7
18,44,0,437,5,7
45,45,0,438,11,8
44,45,0,1039,11,8
16,45,156,0,11,8
14,45,153,0,11,8
12,45,173,0,11,8
63,46,0,0,12,9
47,47,0,972,4,1
20,47,276,0,4,1
30,48,0,696,10,6
56,49,0,961,10,7
54,49,0,1113,10,7
68,50,0,0,5,12
68,50,0,0,5,12
44,51,0,0,9,4
42,51,0,5,9,4
57,52,0,797,12,9
26,52,0,0,12,9
62,53,0,10,10,5
67,54,0,0,3,12
65,54,0,1200,3,12
43,55,0,10,10,13
61,56,0,10,4,1
60,57,0,0,5,13
50,57,0,0,5,13
22,57,276,0,5,13
20,57,0,1068,5,13
19,57,0,540,5,13
57,58,0,0,4,1
56,58,0,337,4,1
28,58,0,1163,4,1
26,58,0,386,4,1
22,58,0,1208,4,1
36,59,0,373,7,3
31,59,0,0,7,3
30,60,0,11,5,7
30,60,0,10,5,7
39,61,0,10,4,1
38,61,0,10,4,1
13,61,248,0,4,1
8,61,229,0,4,1
42,62,0,499,3,3
33,62,0,10,3,3
5,62,216,0,3,3
58,63,0,756,11,2
57,63,0,317,11,2
38,64,0,313,10,7
35,64,0,924,10,7
9,64,88,0,10,7
7,64,60,0,10,7
32,65,0,698,2,3
32,65,0,1213,2,3
3,65,15,0,2,3
31,66,0,10,6,4
24,66,276,0,6,4
56,67,0,10,7,13
49,67,0,992,7,13
24,67,276,0,7,13
20,67,276,0,7,13
19,67,276,0,7,13
34,68,0,0,12,9
33,68,0,880,12,9
12,68,261,0,12,9
44,69,0,906,5,3
21,69,276,0,5,3
20,69,276,0,5,3
10,69,60,0,5,3
48,70,0,10,12,9
44,70,0,183,12,9
20,70,0,1178,12,9
33,71,0,927,7,11
47,72,0,454,13,7
22,72,0,297,13,7
55,73,0,0,7,12
59,74,0,57,1,13
54,74,0,0,1,13
49,75,0,12,6,4
47,75,0,12,6,4
36,76,0,12,4,1
57,77,0,460,2,13
27,78,0,304,3,13
27,78,0,1015,3,13
1,78,0,0,3,13
66,79,0,0,9,4
29,80,0,1037,9,4
39,81,0,12,2,3
37,81,0,12,2,3
49,82,0,12,1,6
46,82,0,816,1,6
43,83,0,721,6,4
19,83,0,0,6,4
17,83,194,0,6,4
35,84,0,1146,5,11
35,84,0,0,5,11
6,84,95,0,5,11
4,84,213,0,5,11
1,84,0,0,5,11
34,85,0,641,4,1
32,85,0,213,4,1
4,85,242,0,4,1
4,85,229,0,4,1
49,86,0,0,6,4
48,86,0,308,6,4
19,86,276,0,6,4
45,87,0,12,12,9
37,87,0,24,12,9
15,87,255,0,12,9
13,87,273,0,12,9
48,88,0,847,1,5
45,88,0,160,1,5
14,88,32,0,1,5
53,89,0,307,4,1
53,89,0,846,4,1
26,89,0,69,4,1
24,89,0,262,4,1
34,90,0,12,6,13
31,90,0,12,6,13
35,91,0,0,3,6
31,91,0,501,3,6
5,91,114,0,3,6
2,91,0,0,3,6
50,92,0,0,5,7
49,92,0,0,5,7
23,92,0,1036,5,7
23,92,0,176,5,7
21,92,276,0,5,7
0,92,0,0,5,7
61,93,0,765,6,7
33,93,0,0,6,7
