"hh_id","latitude","longitude","size"
1,52.09,5.12,5
2,52.16,5.39,3
3,52.2262,5.198,2
4,52.09,5.12,4
5,52.09,5.12,4
6,52.16,5.39,1
7,52.1553,4.99455,4
8,52.1471,5.42534,6
9,52.0372,5.05936,2
10,52.09,5.12,4
11,52.16,5.39,5
12,52.0404,5.28391,1
13,52.0372,5.05936,3
14,52.09,5.12,4
15,52.0698,5.36835,3
16,52.16,5.39,2
17,52.2604,5.19693,4
18,52.09,5.12,1
19,52.09,5.12,2
20,52.2604,5.19693,4
21,52.0593,5.2607,2
22,52.09,5.12,4
23,52.0698,5.36835,3
24,52.07,5.2,5
25,52.09,5.12,1
26,52.09,5.12,2
27,52.09,5.12,2
28,52.16,5.39,4
29,52.0131,5.06119,3
30,52.1948,5.36913,4
31,52.16,5.39,3
32,52.09,5.12,2
33,52.09,5.12,2
34,52.16,5.39,5
35,52.1352,5.35364,3
36,52.09,5.12,2
37,52.0566,5.01219,3
38,52.16,5.39,1
39,52.09,5.12,3
40,52.2262,5.198,3
41,52.09,5.12,2
42,52.09,5.12,3
43,52.09,5.12,4
44,52.09,5.12,4
45,52.16,5.39,5
46,52.1875,5.27139,1
47,52.221,5.20386,2
48,52.09,5.12,1
49,52.09,5.12,2
50,51.9681,5.11575,2
51,52.16,5.39,2
52,52.0723,5.07399,2
53,52.1948,5.36913,1
54,52.2604,5.19693,2
55,52.2038,5.17975,1
56,52.1794,5.33533,1
57,52.044,5.15574,5
58,52.09,5.12,5
59,52.09,5.12,2
60,52.2278,5.28735,2
61,52.1553,4.99455,4
62,52.2038,5.17975,3
63,52.09,5.12,2
64,52.09,5.12,4
65,52.09,5.12,3
66,52.0966,5.05525,2
67,52.09,5.12,5
68,52.07,5.2,3
69,52.1917,5.31518,4
70,52.09,5.12,3
71,52.1471,5.42534,1
72,52.1253,5.08425,2
73,52.1144,5.22145,1
74,52.1352,5.35364,2
75,52.1794,5.33533,2
76,52.0566,5.01219,1
77,52.07,5.2,1
78,52.0593,5.2607,3
79,52.09,5.12,1
80,52.16,5.39,1
81,52.1357,5.13746,2
82,52.09,5.12,2
83,52.09,5.12,3
84,52.09,5.12,5
85,52.044,5.15574,4
86,52.0035,5.2695,3
87,52.09,5.12,4
88,52.1352,5.35364,3
89,52.16,5.39,4
90,52.09,5.12,2
91,52.1351,5.09896,4
92,52.09,5.12,6
93,52.1665,5.01378,6
94,52.16,5.39,2
95,52.1294,5.0672,2
96,52.2604,5.19693,2
97,52.1214,5.1965,4
98,52.1471,5.42534,2
99,52.16,5.39,5
100,52.09,5.12,4
101,52.1253,5.08425,5
102,52.0723,5.07399,3
103,52.0893,5.15152,3
104,52.16,5.39,4
105,52.09,5.12,4
106,52.1471,5.42534,4
107,52.09,5.12,3
108,52.07,5.2,2
109,52.09,5.12,4
110,52.09,5.12,4
111,52.09,5.12,3
112,52.16,5.39,3
113,52.221,5.20386,5
114,52.0372,5.05936,2
115,52.09,5.12,4
116,52.1553,4.99455,3
117,52.0593,5.2607,2
118,52.16,5.39,4
119,52.0372,5.05936,2
120,52.0698,5.36835,4
121,52.0593,5.2607,3
122,52.117,5.48649,3
123,52.09,5.12,4
124,52.16,5.39,2
125,52.0698,5.36835,4
126,52.09,5.12,2
127,52.117,5.48649,4
128,52.0131,5.06119,5
129,52.1294,5.0672,2
130,52.09,5.12,2
131,52.2262,5.198,2
132,52.16,5.39,2
133,52.1553,4.99455,2
134,52.1553,4.99455,3
135,52.09,5.12,1
136,52.09,5.12,1
137,52.09,5.12,1
138,52.044,5.15574,2
139,52.16,5.39,2
140,52.1357,5.13746,1
141,52.2278,5.28735,4
142,52.1794,5.33533,5
143,52.09,5.12,2
144,52.16,5.39,4
145,52.1794,5.33533,1
146,52.09,5.12,1
147,52.0404,5.28391,4
148,52.09,5.12,1
149,52.2262,5.198,2
150,52.2604,5.19693,2
151,52.1665,5.01378,2
152,52.16,5.39,1
153,52.09,5.12,5
154,52.16,5.39,11
155,52.2111,5.0451,2
156,52.0372,5.05936,3
157,52.09,5.12,3
158,52.09,5.12,4
159,52.1253,5.08425,3
160,52.221,5.20386,4
161,52.0566,5.01219,3
162,52.0593,5.2607,4
163,52.2186,5.08943,1
164,52.09,5.12,4
165,52.1253,5.08425,3
166,52.16,5.39,4
167,52.09,5.12,3
168,52.0364,5.27925,1
