"age","household_id","school_id","work_id","primary_community","secondary_community"
77,1,0,0,7,30
48,1,0,330,7,30
46,1,0,11,7,30
19,1,0,11,7,30
14,1,228,0,7,30
55,2,0,0,43,10
26,2,0,381,43,10
24,2,431,0,43,10
32,3,0,11,29,7
30,3,0,600,29,7
54,4,0,389,46,38
51,4,0,0,46,38
19,4,431,0,46,38
16,4,60,0,46,38
43,5,0,0,36,30
39,5,0,390,36,30
12,5,365,0,36,30
9,5,328,0,36,30
30,6,0,0,33,48
76,7,0,0,42,3
73,7,0,0,42,3
48,7,0,11,42,3
11,7,8,0,42,3
39,8,0,11,38,13
38,8,0,423,38,13
20,8,0,11,38,13
18,8,431,0,38,13
15,8,12,0,38,13
10,8,399,0,38,13
68,9,0,0,23,9
58,9,0,289,23,9
46,10,0,458,22,3
45,10,0,0,22,3
18,10,0,1067,22,3
8,10,190,0,22,3
62,11,0,11,48,13
52,11,0,11,48,13
24,11,0,1046,48,13
22,11,0,0,48,13
21,11,431,0,48,13
39,12,0,1368,10,18
50,13,0,0,45,32
42,13,0,11,45,32
8,13,323,0,45,32
53,14,0,1274,11,3
50,14,0,11,11,3
23,14,431,0,11,3
22,14,0,801,11,3
66,15,0,0,8,18
65,15,0,0,8,18
40,15,0,0,8,18
76,16,0,0,5,10
75,16,0,0,5,10
44,17,0,11,24,39
39,17,0,209,24,39
15,17,241,0,24,39
12,17,245,0,24,39
42,18,0,1371,23,50
56,19,0,0,11,34
52,19,0,11,11,34
39,20,0,11,35,14
38,20,0,0,35,14
10,20,242,0,35,14
7,20,250,0,35,14
65,21,0,409,12,41
65,21,0,11,12,41
73,22,0,0,9,49
67,22,0,0,9,49
30,22,0,1236,9,49
26,22,0,854,9,49
46,23,0,37,8,18
39,23,0,10,8,18
13,23,27,0,8,18
43,24,0,1159,46,5
30,24,0,0,46,5
6,24,403,0,46,5
5,24,230,0,46,5
2,24,0,0,46,5
81,25,0,0,14,31
67,26,0,0,44,46
56,26,0,11,44,46
32,27,0,11,28,41
32,27,0,564,28,41
49,28,0,82,15,1
39,28,0,346,15,1
15,28,145,0,15,1
15,28,332,0,15,1
56,29,0,1301,22,40
53,29,0,412,22,40
22,29,0,0,22,40
33,30,0,0,38,19
31,30,0,11,38,19
1,30,0,0,38,19
1,30,0,0,38,19
52,31,0,893,16,35
49,31,0,41,16,35
20,31,0,0,16,35
38,32,0,1317,45,25
37,32,0,551,45,25
34,33,0,0,46,40
32,33,0,1033,46,40
35,34,0,11,49,17
31,34,0,0,49,17
7,34,350,0,49,17
6,34,142,0,49,17
1,34,0,0,49,17
51,35,0,11,2,11
50,35,0,712,2,11
21,35,0,0,2,11
61,36,0,11,46,3
54,36,0,0,46,3
45,37,0,0,42,31
40,37,0,0,42,31
15,37,35,0,42,31
52,38,0,11,15,16
40,39,0,11,47,36
