"age","household_id","school_id","work_id","primary_community","secondary_community"
54,1,0,1100,18,18
53,1,0,462,18,18
67,2,0,0,7,15
66,2,0,0,7,15
63,2,0,0,7,15
59,3,0,280,12,8
55,3,0,0,12,8
41,4,0,9,15,6
36,4,0,9,15,6
9,4,7,0,15,6
7,4,37,0,15,6
39,5,0,0,42,7
36,5,0,1175,42,7
14,5,43,0,42,7
10,5,27,0,42,7
54,6,0,1031,50,16
52,6,0,0,50,16
46,7,0,2022,8,5
19,7,1,0,8,5
75,8,0,0,4,27
65,9,0,1112,26,16
57,9,0,230,26,16
57,10,0,376,17,21
54,10,0,1168,17,21
26,10,0,1690,17,21
23,10,1,0,17,21
22,10,1,0,17,21
43,11,0,0,38,3
75,12,0,0,14,31
72,12,0,0,14,31
50,13,0,2036,3,27
44,13,0,9,3,27
14,13,33,0,3,27
56,14,0,0,13,13
55,14,0,0,13,13
42,15,0,0,13,8
38,15,0,0,13,8
15,15,42,0,13,8
13,15,42,0,13,8
12,15,8,0,13,8
10,15,22,0,13,8
8,15,42,0,13,8
42,16,0,67,47,3
41,16,0,9,47,3
74,17,0,0,7,3
69,17,0,0,7,3
53,18,0,0,48,23
51,18,0,0,48,23
22,18,1,0,48,23
20,18,0,687,48,23
76,19,0,0,38,3
73,19,0,0,38,3
43,20,0,1348,30,46
42,20,0,1348,30,46
13,20,28,0,30,46
9,20,28,0,30,46
50,21,0,580,9,13
49,21,0,1791,9,13
23,21,0,0,9,13
20,21,1,0,9,13
50,22,0,2125,42,36
44,22,0,0,42,36
22,22,0,531,42,36
21,22,1,0,42,36
21,22,0,1107,42,36
18,22,1,0,42,36
76,23,0,0,3,39
75,23,0,0,3,39
65,24,0,0,19,28
60,25,0,985,17,21
55,25,0,2065,17,21
23,25,1,0,17,21
42,26,0,9,13,34
37,26,0,0,13,34
16,26,22,0,13,34
14,26,8,0,13,34
53,27,0,9,38,32
52,27,0,1830,38,32
26,27,0,1324,38,32
14,27,13,0,38,32
55,28,0,0,26,44
50,28,0,1231,26,44
22,28,1,0,26,44
44,29,0,9,39,1
42,29,0,0,39,1
13,29,40,0,39,1
11,29,40,0,39,1
6,29,40,0,39,1
52,30,0,1442,3,39
49,30,0,9,3,39
65,31,0,0,36,35
65,31,0,0,36,35
34,31,0,1057,36,35
44,32,0,987,19,28
43,32,0,485,19,28
61,33,0,1651,44,51
51,33,0,1978,44,51
45,34,0,0,49,41
45,34,0,687,49,41
24,34,1,0,49,41
18,34,1,0,49,41
17,34,5,0,49,41
55,35,0,0,20,16
52,35,0,1734,20,16
24,35,0,0,20,16
23,35,1,0,20,16
45,36,0,587,34,26
45,36,0,970,34,26
13,36,7,0,34,26
11,36,15,0,34,26
9,36,4,0,34,26
67,37,0,0,20,16
64,37,0,335,20,16
39,38,0,341,39,19
35,38,0,9,39,19
6,38,40,0,39,19
3,38,40,0,39,19
45,39,0,9,20,26
37,39,0,0,20,26
4,39,33,0,20,26
3,39,39,0,20,26
78,40,0,0,48,41
76,40,0,0,48,41
63,41,0,9,38,2
62,41,0,1465,38,2
53,42,0,434,34,26
51,42,0,0,34,26
28,43,0,105,40,8
26,43,0,1212,40,8
35,44,0,9,28,50
33,44,0,0,28,50
4,44,40,0,28,50
58,45,0,1093,37,21
40,46,0,1170,10,33
34,46,0,9,10,33
9,46,27,0,10,33
7,46,27,0,10,33
4,46,43,0,10,33
54,47,0,0,44,49
54,47,0,1844,44,49
32,47,0,1844,44,49
25,47,61,0,44,49
44,48,0,0,12,13
43,48,0,1002,12,13
9,48,28,0,12,13
5,48,29,0,12,13
41,49,0,117,30,15
39,49,0,9,30,15
32,50,0,1620,28,11
31,50,0,0,28,11
4,50,44,0,28,11
1,50,0,0,28,11
44,51,0,1429,23,38
41,51,0,1725,23,38
5,51,40,0,23,38
32,52,0,9,33,9
31,52,0,1339,33,9
41,53,0,9,31,33
33,53,0,0,31,33
9,53,26,0,31,33
6,53,26,0,31,33
54,54,0,0,2,8
52,54,0,294,2,8
55,55,0,952,19,36
55,55,0,257,19,36
29,55,0,9,19,36
27,56,0,9,37,45
24,56,1,0,37,45
72,57,0,0,3,39
40,58,0,0,49,23
55,59,0,0,44,49
52,59,0,9,44,49
24,59,1,0,44,49
21,59,0,1851,44,49
57,60,0,9,24,9
55,60,0,1443,24,9
36,61,0,0,36,11
35,62,0,1152,34,26
27,62,0,42,34,26
5,62,39,0,34,26
62,63,0,0,12,8
61,63,0,294,12,8
29,63,0,0,12,8
32,64,0,0,11,32
30,64,0,0,11,32
11,64,35,0,11,32
6,64,35,0,11,32
48,65,0,42,14,31
44,65,0,466,14,31
12,65,9,0,14,31
37,66,0,0,48,23
34,66,0,185,48,23
36,67,0,42,31,33
35,67,0,186,31,33
13,67,26,0,31,33
11,67,26,0,31,33
1,67,0,0,31,33
1,67,0,0,31,33
77,68,0,0,43,16
76,68,0,0,43,16
48,69,0,764,45,48
47,69,0,864,45,48
