"age","household_id","school_id","work_id","primary_community","secondary_community"
77,1,0,0,15,5
48,1,0,0,15,5
46,1,0,1772,15,5
19,1,0,0,15,5
14,1,589,0,15,5
55,2,0,0,22,25
26,2,0,0,22,25
24,2,1076,0,22,25
32,3,0,2,40,47
30,3,0,0,40,47
54,4,0,8,9,24
51,4,0,204,9,24
19,4,1076,0,9,24
16,4,151,0,9,24
43,5,0,991,49,13
39,5,0,897,49,13
12,5,920,0,49,13
9,5,687,0,49,13
30,6,0,1488,36,1
76,7,0,0,31,2
73,7,0,0,31,2
48,7,0,8,31,2
11,7,345,0,31,2
39,8,0,0,3,11
38,8,0,1119,3,11
20,8,0,734,3,11
18,8,0,654,3,11
15,8,820,0,3,11
10,8,401,0,3,11
68,9,0,0,13,30
58,9,0,0,13,30
46,10,0,0,43,42
45,10,0,1509,43,42
18,10,1076,0,43,42
8,10,149,0,43,42
62,11,0,8,43,39
52,11,0,887,43,39
24,11,0,2073,43,39
22,11,0,0,43,39
21,11,1076,0,43,39
39,12,0,1606,12,20
50,13,0,1907,1,36
42,13,0,0,1,36
8,13,693,0,1,36
53,14,0,189,8,20
50,14,0,8,8,20
23,14,1076,0,8,20
22,14,1076,0,8,20
66,15,0,0,45,30
65,15,0,0,45,30
40,15,0,315,45,30
76,16,0,0,44,25
75,16,0,0,44,25
44,17,0,192,37,13
39,17,0,0,37,13
15,17,296,0,37,13
12,17,7,0,37,13
42,18,0,0,2,27
56,19,0,907,32,29
52,19,0,0,32,29
39,20,0,8,16,23
38,20,0,0,16,23
10,20,781,0,16,23
7,20,800,0,16,23
65,21,0,0,43,39
65,21,0,853,43,39
73,22,0,0,41,5
67,22,0,0,41,5
30,22,0,1867,41,5
26,22,0,1373,41,5
46,23,0,0,13,38
39,23,0,963,13,38
13,23,1034,0,13,38
43,24,0,2131,31,2
30,24,0,8,31,2
6,24,726,0,31,2
5,24,744,0,31,2
2,24,0,0,31,2
81,25,0,0,43,10
67,26,0,0,15,3
56,26,0,8,15,3
32,27,0,0,30,36
32,27,0,0,30,36
49,28,0,2046,41,45
39,28,0,8,41,45
15,28,852,0,41,45
15,28,834,0,41,45
56,29,0,1264,47,33
53,29,0,1629,47,33
22,29,0,0,47,33
33,30,0,8,43,37
31,30,0,707,43,37
1,30,0,0,43,37
1,30,0,0,43,37
52,31,0,0,15,15
49,31,0,8,15,15
20,31,1076,0,15,15
38,32,0,0,49,16
37,32,0,0,49,16
34,33,0,8,45,38
32,33,0,8,45,38
35,34,0,1231,45,38
31,34,0,0,45,38
7,34,974,0,45,38
6,34,1038,0,45,38
1,34,0,0,45,38
51,35,0,1386,47,49
50,35,0,0,47,49
21,35,0,1671,47,49
61,36,0,8,25,12
54,36,0,8,25,12
45,37,0,1378,36,17
40,37,0,0,36,17
15,37,38,0,36,17
52,38,0,404,19,20
40,39,0,8,9,30
39,39,0,8,9,30
14,39,1040,0,9,30
32,40,0,0,13,30
28,40,0,964,13,30
2,40,0,0,13,30
24,41,1076,0,40,36
21,41,0,1920,40,36
64,42,0,8,24,6
64,42,0,0,24,6
32,42,0,8,24,6
41,43,0,1978,40,25
37,43,0,1474,40,25
10,43,1008,0,40,25
6,43,1019,0,40,25
59,44,0,0,31,49
57,44,0,8,31,49
20,44,0,8,31,49
18,44,0,0,31,49
45,45,0,1888,17,30
44,45,0,14,17,30
16,45,161,0,17,30
14,45,1027,0,17,30
12,45,167,0,17,30
63,46,0,2031,9,30
47,47,0,1762,17,30
20,47,0,1650,17,30
30,48,0,0,39,27
56,49,0,2116,21,27
54,49,0,593,21,27
68,50,0,0,40,40
68,50,0,0,40,40
44,51,0,14,12,37
42,51,0,14,12,37
57,52,0,1457,18,41
26,52,0,864,18,41
62,53,0,1115,27,4
67,54,0,0,44,31
65,54,0,1655,44,31
43,55,0,1692,13,30
61,56,0,0,31,21
60,57,0,0,33,22
50,57,0,14,33,22
22,57,1076,0,33,22
20,57,0,1955,33,22
19,57,1076,0,33,22
57,58,0,14,37,34
56,58,0,63,37,34
28,58,0,0,37,34
26,58,0,1325,37,34
22,58,1076,0,37,34
36,59,0,1562,43,21
31,59,0,0,43,21
30,60,0,0,38,44
30,60,0,14,38,44
39,61,0,2075,26,33
38,61,0,0,26,33
13,61,1006,0,26,33
8,61,575,0,26,33
42,62,0,14,11,27
33,62,0,0,11,27
5,62,600,0,11,27
58,63,0,0,4,48
57,63,0,0,4,48
38,64,0,14,16,12
35,64,0,14,16,12
9,64,992,0,16,12
7,64,492,0,16,12
32,65,0,14,18,2
32,65,0,327,18,2
3,65,960,0,18,2
31,66,0,74,25,42
24,66,0,14,25,42
56,67,0,266,34,11
49,67,0,14,34,11
24,67,0,14,34,11
20,67,1076,0,34,11
19,67,1136,0,34,11
34,68,0,52,28,13
33,68,0,1447,28,13
12,68,576,0,28,13
44,69,0,14,42,13
21,69,1076,0,42,13
20,69,1076,0,42,13
10,69,588,0,42,13
48,70,0,14,41,27
44,70,0,794,41,27
20,70,0,0,41,27
33,71,0,943,27,41
47,72,0,0,20,43
22,72,0,1847,20,43
55,73,0,1940,15,3
59,74,0,945,30,16
54,74,0,1068,30,16
49,75,0,538,47,24
47,75,0,0,47,24
36,76,0,0,34,32
57,77,0,0,31,44
27,78,0,855,32,31
27,78,0,87,32,31
1,78,0,0,32,31
66,79,0,0,6,43
29,80,0,0,35,5
39,81,0,0,16,12
37,81,0,104,16,12
49,82,0,1135,9,30
46,82,0,543,9,30
43,83,0,0,48,16
19,83,1076,0,48,16
17,83,626,0,48,16
35,84,0,0,32,47
35,84,0,14,32,47
6,84,153,0,32,47
4,84,970,0,32,47
1,84,0,0,32,47
34,85,0,1591,12,43
32,85,0,0,12,43
4,85,35,0,12,43
4,85,712,0,12,43
49,86,0,0,12,14
48,86,0,270,12,14
19,86,0,1509,12,14
45,87,0,0,31,2
37,87,0,0,31,2
15,87,656,0,31,2
13,87,400,0,31,2
48,88,0,14,5,37
45,88,0,19,5,37
14,88,44,0,5,37
53,89,0,14,20,10
53,89,0,0,20,10
26,89,0,0,20,10
24,89,0,0,20,10
34,90,0,0,39,3
31,90,0,0,39,3
35,91,0,0,39,47
31,91,0,0,39,47
5,91,677,0,39,47
2,91,0,0,39,47
50,92,0,14,31,18
49,92,0,0,31,18
23,92,0,0,31,18
23,92,0,14,31,18
21,92,0,33,31,18
0,92,0,0,31,18
61,93,0,0,37,3
33,93,0,1171,37,3
31,93,0,1068,37,3
28,93,0,0,37,3
27,93,0,33,37,3
25,93,0,119,37,3
55,94,0,33,16,23
52,94,0,214,16,23
60,95,0,0,42,34
58,95,0,579,42,34
23,96,0,0,38,45
22,96,0,335,38,45
50,97,0,0,40,30
43,97,0,1974,40,30
20,97,1076,0,40,30
18,97,1076,0,40,30
56,98,0,0,25,12
50,98,0,0,25,12
50,99,0,231,11,34
42,99,0,1844,11,34
13,99,685,0,11,34
8,99,18,0,11,34
4,99,260,0,11,34
50,100,0,0,25,42
48,100,0,116,25,42
21,100,0,33,25,42
19,100,0,0,25,42
51,101,0,0,37,34
49,101,0,33,37,34
20,101,1076,0,37,34
17,101,638,0,37,34
8,101,252,0,37,34
49,102,0,513,8,39
43,102,0,33,8,39
9,102,708,0,8,39
32,103,0,950,22,18
32,103,0,0,22,18
2,103,0,0,22,18
42,104,0,1357,9,30
42,104,0,233,9,30
17,104,1029,0,9,30
11,104,1033,0,9,30
30,105,0,0,27,34
30,105,0,0,27,34
3,105,88,0,27,34
1,105,0,0,27,34
42,106,0,0,18,29
33,106,0,850,18,29
16,106,969,0,18,29
14,106,388,0,18,29
30,107,0,33,20,20
28,107,0,0,20,20
2,107,0,0,20,20
66,108,0,0,14,19
66,108,0,0,14,19
55,109,0,33,12,26
51,109,0,33,12,26
35,109,0,0,12,26
30,109,0,0,12,26
44,110,0,1901,48,27
43,110,0,1835,48,27
15,110,858,0,48,27
12,110,97,0,48,27
55,111,0,33,31,2
46,111,0,1819,31,2
22,111,0,956,31,2
60,112,0,33,37,30
56,112,0,419,37,30
26,112,0,0,37,30
42,113,0,0,37,3
41,113,0,0,37,3
11,113,691,0,37,3
8,113,644,0,37,3
5,113,595,0,37,3
55,114,0,782,8,8
48,114,0,0,8,8
48,115,0,33,30,3
47,115,0,819,30,3
23,115,1076,0,30,3
20,115,1076,0,30,3
33,116,0,0,16,9
27,116,0,33,16,9
0,116,0,0,16,9
35,117,0,0,44,18
34,117,0,33,44,18
48,118,0,1604,14,9
47,118,0,0,14,9
17,118,765,0,14,9
13,118,491,0,14,9
49,119,0,1514,11,5
49,119,0,440,11,5
51,120,0,0,18,16
51,120,0,1775,18,16
25,120,0,33,18,16
22,120,1076,0,18,16
36,121,0,0,33,32
36,121,0,33,33,32
5,121,407,0,33,32
41,122,0,33,17,30
39,122,0,2047,17,30
8,122,172,0,17,30
37,123,0,1228,9,30
34,123,0,242,9,30
8,123,1044,0,9,30
6,123,175,0,9,30
56,124,0,2007,31,41
35,124,0,33,31,41
35,125,0,0,50,15
20,125,0,6,50,15
3,125,875,0,50,15
1,125,0,0,50,15
74,126,0,0,2,34
74,126,0,0,2,34
46,127,0,1331,5,7
46,127,0,1567,5,7
16,127,109,0,5,7
9,127,358,0,5,7
34,128,0,1991,9,33
30,128,0,2118,9,33
6,128,1019,0,9,33
5,128,1005,0,9,33
0,128,0,0,9,33
67,129,0,0,20,8
65,129,0,33,20,8
79,130,0,0,36,26
72,130,0,0,36,26
68,131,0,0,40,50
65,131,0,518,40,50
71,132,0,0,43,9
64,132,0,0,43,9
29,133,0,1870,10,43
27,133,0,33,10,43
36,134,0,0,32,40
32,134,0,0,32,40
12,134,1002,0,32,40
16,135,921,0,42,36
64,136,0,0,34,46
30,137,0,34,23,4
53,138,0,1997,46,43
51,138,0,0,46,43
52,139,0,3,4,32
24,139,1076,0,4,32
23,140,1076,0,2,16
39,141,0,0,35,29
36,141,0,0,35,29
9,141,587,0,35,29
7,141,265,0,35,29
47,142,0,0,50,15
46,142,0,2120,50,15
23,142,0,0,50,15
20,142,0,0,50,15
18,142,0,1993,50,15
67,143,0,0,22,50
65,143,0,456,22,50
43,144,0,0,43,39
42,144,0,2044,43,39
14,144,41,0,43,39
11,144,147,0,43,39
45,145,0,0,47,50
59,146,0,292,26,33
39,147,0,0,45,33
31,147,0,0,45,33
7,147,313,0,45,33
4,147,163,0,45,33
80,148,0,0,18,16
46,149,0,229,32,40
12,149,1021,0,32,40
46,150,0,0,38,45
40,150,0,34,38,45
66,151,0,0,43,7
63,151,0,34,43,7
43,152,0,34,26,25
44,153,0,0,26,50
32,153,0,838,26,50
7,153,1020,0,26,50
5,153,320,0,26,50
1,153,0,0,26,50
48,154,0,0,1,16
23,154,0,34,1,16
21,154,1076,0,1,16
18,154,1076,0,1,16
14,154,167,0,1,16
12,154,166,0,1,16
9,154,262,0,1,16
8,154,162,0,1,16
5,154,591,0,1,16
1,154,0,0,1,16
0,154,0,0,1,16
50,155,0,2087,5,10
12,155,356,0,5,10
70,156,0,0,6,8
67,156,0,0,6,8
40,156,0,0,6,8
23,157,1076,0,13,24
19,157,1076,0,13,24
19,157,0,155,13,24
41,158,0,218,50,4
38,158,0,0,50,4
6,158,452,0,50,4
4,158,943,0,50,4
29,159,0,0,39,34
27,159,0,215,39,34
3,159,59,0,39,34
53,160,0,480,3,11
50,160,0,0,3,11
27,160,0,608,3,11
26,160,0,1402,3,11
64,161,0,0,49,15
60,161,0,922,49,15
35,161,0,1755,49,15
51,162,0,34,8,10
46,162,0,1726,8,10
18,162,0,1478,8,10
16,162,659,0,8,10
42,163,0,1940,35,13
46,164,0,453,28,16
45,164,0,34,28,16
21,164,1076,0,28,16
18,164,0,34,28,16
39,165,0,0,30,5
28,165,0,0,30,5
1,165,0,0,30,5
43,166,0,0,17,30
42,166,0,0,17,30
15,166,168,0,17,30
12,166,1026,0,17,30
42,167,0,34,26,25
41,167,0,0,26,25
11,167,163,0,26,25
91,168,0,0,21,22
36,169,0,34,2,48
34,169,0,34,2,48
8,169,944,0,2,48
3,169,892,0,2,48
47,170,0,289,40,25
42,171,0,830,26,33
37,171,0,34,26,33
5,171,1005,0,26,33
44,172,0,0,19,20
36,172,0,0,19,20
3,172,39,0,19,20
2,172,0,0,19,20
41,173,0,0,4,46
18,173,0,34,4,46
17,173,247,0,4,46
7,173,396,0,4,46
39,174,0,1740,11,41
37,174,0,2055,11,41
8,174,455,0,11,41
4,174,234,0,11,41
2,174,0,0,11,41
52,175,0,28,42,2
51,175,0,0,42,2
23,175,0,1111,42,2
21,175,1076,0,42,2
18,175,1076,0,42,2
0,175,0,0,42,2
43,176,0,1524,48,46
42,176,0,829,48,46
20,176,0,228,48,46
52,177,0,0,20,26
28,177,0,0,20,26
68,178,0,0,39,38
53,178,0,0,39,38
63,179,0,34,48,13
63,179,0,385,48,13
59,179,0,1265,48,13
50,179,0,101,48,13
27,179,0,80,48,13
24,179,1076,0,48,13
38,180,0,0,44,29
35,180,0,1176,44,29
4,180,566,0,44,29
45,181,0,34,11,16
42,181,0,2015,11,16
12,181,1,0,11,16
7,181,292,0,11,16
63,182,0,1764,44,25
52,182,0,0,44,25
34,183,0,721,34,6
48,184,0,0,14,42
48,184,0,0,14,42
17,184,766,0,14,42
15,184,487,0,14,42
32,185,0,0,1,13
31,185,0,629,1,13
4,185,269,0,1,13
41,186,0,0,1,13
40,186,0,1813,1,13
14,186,291,0,1,13
9,186,25,0,1,13
34,187,0,34,29,28
33,187,0,788,29,28
4,187,772,0,29,28
2,187,0,0,29,28
42,188,0,0,2,34
40,188,0,34,2,34
21,188,0,1285,2,34
17,188,208,0,2,34
38,189,0,1462,33,35
38,189,0,0,33,35
12,189,877,0,33,35
26,190,0,2018,29,28
25,190,1136,0,29,28
34,191,0,60,32,49
33,191,0,0,32,49
4,191,961,0,32,49
3,191,174,0,32,49
61,192,0,587,36,20
51,192,0,1363,36,20
26,192,0,1726,36,20
22,192,1076,0,36,20
1,192,0,0,36,20
62,193,0,34,35,16
60,193,0,1649,35,16
41,194,0,34,34,32
40,194,0,0,34,32
13,194,820,0,34,32
45,195,0,0,12,43
38,196,0,34,32,29
38,196,0,0,32,29
9,196,1060,0,32,29
6,196,1063,0,32,29
75,197,0,0,43,37
71,197,0,0,43,37
47,198,0,1648,12,20
44,198,0,39,12,20
20,198,1076,0,12,20
18,198,0,39,12,20
16,198,718,0,12,20
52,199,0,39,18,21
49,199,0,39,18,21
29,199,0,0,18,21
24,199,1076,0,18,21
9,199,735,0,18,21
41,200,0,1774,30,34
35,200,0,0,30,34
6,200,253,0,30,34
4,200,274,0,30,34
48,201,0,145,40,38
46,201,0,0,40,38
19,201,0,0,40,38
16,201,166,0,40,38
47,202,0,1443,40,18
47,202,0,39,40,18
22,202,1076,0,40,18
59,203,0,39,32,41
58,203,0,39,32,41
25,203,0,0,32,41
23,203,0,39,32,41
61,204,0,39,29,28
52,204,0,39,29,28
40,205,0,39,45,29
37,205,0,1409,45,29
4,205,1007,0,45,29
51,206,0,999,47,31
50,206,0,81,47,31
27,206,0,0,47,31
25,206,1076,0,47,31
0,206,0,0,47,31
57,207,0,724,42,38
74,208,0,0,2,27
68,208,0,0,2,27
51,209,0,0,10,38
47,209,0,1138,10,38
46,210,0,0,8,39
44,210,0,0,8,39
18,210,1076,0,8,39
14,210,982,0,8,39
64,211,0,39,45,30
49,212,0,0,19,8
47,212,0,39,19,8
37,213,0,0,38,34
36,213,0,0,38,34
10,213,447,0,38,34
8,213,882,0,38,34
6,213,333,0,38,34
44,214,0,212,47,40
41,214,0,1710,47,40
16,214,1016,0,47,40
13,214,1006,0,47,40
11,214,966,0,47,40
63,215,0,39,29,28
25,215,1076,0,29,28
28,216,0,0,47,24
38,217,0,0,16,42
35,217,0,39,16,42
10,217,799,0,16,42
8,217,986,0,16,42
6,217,494,0,16,42
4,217,770,0,16,42
59,218,0,0,17,36
56,218,0,143,17,36
30,218,0,0,17,36
27,218,0,1340,17,36
31,219,0,0,43,20
30,219,0,1728,43,20
1,219,0,0,43,20
46,220,0,1648,12,43
45,220,0,44,12,43
22,220,1076,0,12,43
18,220,0,1367,12,43
49,221,0,225,10,2
36,222,0,1760,8,37
33,222,0,0,8,37
1,222,0,0,8,37
0,222,0,0,8,37
53,223,0,39,6,10
51,223,0,996,6,10
25,223,0,39,6,10
23,223,0,39,6,10
78,224,0,0,25,19
76,224,0,0,25,19
43,225,0,1462,34,46
43,225,0,39,34,46
13,225,440,0,34,46
6,225,80,0,34,46
29,226,0,1157,45,47
28,226,0,374,45,47
26,227,0,0,47,24
22,227,1076,0,47,24
36,228,0,810,6,1
35,228,0,102,6,1
8,228,708,0,6,1
6,228,373,0,6,1
1,228,0,0,6,1
65,229,0,1509,7,43
61,229,0,1897,7,43
29,229,0,39,7,43
51,230,0,974,48,5
37,230,0,1241,48,5
7,230,295,0,48,5
77,231,0,0,13,49
74,231,0,0,13,49
49,232,0,1206,4,45
49,232,0,45,4,45
17,232,456,0,4,45
13,232,97,0,4,45
38,233,0,0,15,29
35,233,0,847,15,29
4,233,967,0,15,29
50,234,0,540,19,20
46,234,0,1897,19,20
48,235,0,0,10,35
46,235,0,45,10,35
18,235,1076,0,10,35
16,235,743,0,10,35
63,236,0,0,47,33
63,236,0,754,47,33
54,237,0,522,19,17
46,237,0,278,19,17
14,237,661,0,19,17
48,238,0,0,10,14
47,238,0,1502,10,14
19,238,0,45,10,14
16,238,670,0,10,14
39,239,0,452,28,13
12,239,1062,0,28,13
